Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSH,PSD,PSA,WHH,WHD,WHA,AvgH,AvgD,AvgA,pH_raw,pD_raw,pA_raw,ProbH,ProbD,ProbA
05/08/2022,Crystal Palace,Arsenal,0,2,A,4.2,3.6,1.85,4.5,3.65,1.89,4.4,3.5,1.83,4.366666666666666,3.5833333333333335,1.8566666666666667,0.22900763358778628,0.27906976744186046,0.5385996409335727,0.2187949333045882,0.26662452337582376,0.514580543319588
06/08/2022,Fulham,Liverpool,2,2,D,11.0,6.0,1.25,11.2,6.22,1.28,12.0,5.5,1.27,11.4,5.906666666666666,1.2666666666666668,0.08771929824561403,0.16930022573363432,0.7894736842105262,0.08382213812677389,0.16177861873226113,0.754399243140965
06/08/2022,Bournemouth,Aston Villa,2,0,H,3.75,3.5,2.0,3.93,3.58,2.04,3.75,3.3,2.05,3.81,3.4599999999999995,2.03,0.26246719160104987,0.28901734104046245,0.4926108374384237,0.251382391994474,0.27681124667599594,0.4718063613295301
06/08/2022,Leeds,Wolves,2,1,H,2.25,3.4,3.2,2.39,3.33,3.3,2.25,3.3,3.2,2.296666666666667,3.3433333333333337,3.233333333333333,0.43541364296081275,0.2991026919242273,0.30927835051546393,0.41714491274090415,0.2865531853225154,0.2963019019365804
06/08/2022,Newcastle,Nott'm Forest,2,0,H,1.66,3.8,5.25,1.71,3.74,5.83,1.67,3.7,5.25,1.68,3.7466666666666666,5.4433333333333325,0.5952380952380952,0.26690391459074736,0.18371096142069812,0.5691412766432455,0.255202138281313,0.17565658507544138
06/08/2022,Tottenham,Southampton,4,1,H,1.33,5.5,8.5,1.37,5.39,9.11,1.35,5.0,8.5,1.3500000000000003,5.296666666666667,8.703333333333333,0.7407407407407406,0.18879798615481433,0.11489850631941785,0.7092247549051869,0.1807652773672755,0.11000996772753764
06/08/2022,Everton,Chelsea,0,1,A,5.5,4.0,1.61,6.04,4.06,1.63,5.8,3.75,1.62,5.78,3.936666666666666,1.62,0.17301038062283736,0.25402201524132095,0.6172839506172839,0.16566855551553103,0.2432424007315249,0.5910890437529441
07/08/2022,Leicester,Brentford,2,2,D,2.0,3.75,3.5,2.07,3.69,3.74,2.0,3.6,3.5,2.0233333333333334,3.6799999999999997,3.58,0.4942339373970346,0.27173913043478265,0.27932960893854747,0.4728141890194445,0.25996214921630695,0.26722366176424844
07/08/2022,Man United,Brighton,1,2,A,1.6,4.2,5.25,1.65,4.14,5.68,1.6,3.9,5.5,1.6166666666666665,4.08,5.476666666666667,0.6185567010309279,0.24509803921568626,0.18259281801582472,0.5912144751460153,0.23426390559298807,0.1745216192609966
07/08/2022,West Ham,Man City,0,2,A,8.0,5.0,1.36,8.58,5.48,1.38,9.0,5.0,1.33,8.526666666666666,5.16,1.3566666666666667,0.11727912431587179,0.19379844961240308,0.7371007371007371,0.11188852419655312,0.1848907266762163,0.7032207491272306
13/08/2022,Aston Villa,Everton,2,1,H,1.8,3.5,4.75,1.83,3.55,5.12,1.8,3.4,4.75,1.8099999999999998,3.483333333333333,4.873333333333334,0.5524861878453039,0.2870813397129187,0.20519835841313266,0.5288133880171998,0.27478054516109046,0.1964060668217096
13/08/2022,Arsenal,Leicester,4,2,H,1.53,4.33,5.75,1.58,4.34,6.22,1.53,4.2,5.8,1.5466666666666669,4.29,5.923333333333333,0.6465517241379309,0.2331002331002331,0.16882386043894204,0.6166586899165339,0.22232294648117465,0.16101836360229138
13/08/2022,Brighton,Newcastle,0,0,D,2.45,3.2,3.0,2.48,3.24,3.22,2.38,3.25,3.0,2.4366666666666665,3.2300000000000004,3.0733333333333337,0.4103967168262654,0.3095975232198142,0.3253796095444685,0.39258368380556824,0.2961596211164813,0.3112566950779505
13/08/2022,Man City,Bournemouth,4,0,H,1.06,13.0,29.0,1.07,13.82,41.0,1.05,13.0,34.0,1.0599999999999998,13.273333333333333,34.666666666666664,0.9433962264150945,0.07533902561526871,0.028846153846153848,0.9005469370905356,0.07191710848688856,0.02753595442257599
13/08/2022,Southampton,Leeds,2,2,D,2.25,3.5,3.1,2.34,3.55,3.18,2.25,3.4,3.1,2.28,3.483333333333333,3.126666666666667,0.4385964912280702,0.2870813397129187,0.3198294243070362,0.4195059278895412,0.2745856982549725,0.3059083738554863
13/08/2022,Wolves,Fulham,0,0,D,2.3,3.3,3.2,2.44,3.24,3.29,2.35,3.25,3.1,2.3633333333333333,3.263333333333333,3.1966666666666668,0.4231311706629055,0.30643513789581206,0.31282586027111575,0.40592320559919715,0.2939729854645871,0.30010380893621563
13/08/2022,Brentford,Man United,4,0,H,3.75,3.5,2.0,3.82,3.64,2.06,3.8,3.5,1.95,3.7900000000000005,3.546666666666667,2.0033333333333334,0.26385224274406327,0.2819548872180451,0.49916805324459235,0.25249618075558844,0.2698196969164513,0.4776841223279603
14/08/2022,Nott'm Forest,West Ham,1,0,H,4.2,3.6,1.85,4.28,3.72,1.92,4.2,3.5,1.85,4.226666666666667,3.606666666666667,1.8733333333333333,0.23659305993690852,0.277264325323475,0.5338078291814947,0.2258288780380558,0.2646497387728787,0.5095213831890655
14/08/2022,Chelsea,Tottenham,2,2,D,2.25,3.4,3.2,2.28,3.52,3.35,2.25,3.3,3.2,2.26,3.4066666666666663,3.25,0.4424778761061947,0.2935420743639922,0.3076923076923077,0.4239462290930626,0.2812480854452999,0.29480568546163743
